80,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-21 23:48:23"
81,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-21 23:50:19"
82,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-21 23:50:20"
83,1,"admin admin",admin,"Modifico datos del cliente: Estefania Arocha Pasadas","2016-12-21 23:50:21"
84,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-22 00:10:50"
85,1,"admin admin",admin,"Modifico el pedido numero 1","2016-12-22 00:27:35"
86,1,"admin admin",admin,"Modifico el pedido numero 1","2016-12-22 00:28:53"
87,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2016-12-25 16:24:33"
88,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:01:21"
89,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:01:59"
90,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:02:12"
91,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:02:46"
92,2,,a,"Fallo de identificacion, Datos incorrectos","2017-01-03 22:03:59"
93,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:04:04"
94,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-03 22:04:32"
95,1,"admin admin",admin,"Vendio el vehiculo: 3","2017-01-03 23:45:04"
96,1,"admin admin",admin,"Vendio el vehiculo: 7","2017-01-03 23:48:50"
97,1,"admin admin",admin,"Vendio el vehiculo: 6","2017-01-04 00:19:18"
98,1,"admin admin",admin,"Vendio el vehiculo: 6","2017-01-04 00:20:32"
99,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-06 15:44:39"
100,2,,admin,"Fallo de identificacion, Datos incorrectos","2017-01-06 19:35:04"
101,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-06 19:35:08"
102,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-10 20:27:07"
103,2,,,"Fallo de identificacion, Datos incorrectos","2017-01-10 22:33:54"
104,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-10 22:34:13"
105,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-10 22:35:58"
106,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-11 19:28:53"
107,1,"admin admin",admin,"Borro al usuario: u  u","2017-01-11 20:19:48"
108,1,"admin admin",admin,"Registro al usuario: prueba prueba","2017-01-11 20:20:02"
109,8,"prueba prueba",prueba,"Identificado correctamente, acceso permitido","2017-01-11 20:20:11"
110,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-11 20:21:31"
111,1,"admin admin",admin,"Modifico datos del cliente: Queralt Viso Gilabert","2017-01-11 20:21:45"
112,1,"admin admin",admin,"Registro al cliente: prueba aaaa","2017-01-11 20:22:26"
113,1,"admin admin",admin,"Vendio el vehiculo: 1","2017-01-11 20:23:10"
114,1,"admin admin",admin,"Modifico datos del usuario: prueba prueba","2017-01-11 21:21:34"
115,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 20:16:34"
116,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 20:37:27"
117,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 20:55:30"
120,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 21:06:22"
121,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 21:15:35"
122,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 21:16:35"
123,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-15 21:24:31"
124,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-17 21:09:25"
125,1,"admin admin",admin,"Modifico datos del usuario: cli cli","2017-01-17 21:12:29"
126,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-17 21:12:53"
127,1,"admin admin",admin,"Modifico datos del usuario: cli cli","2017-01-17 21:13:01"
128,6,"cli cli",clicli,"Identificado correctamente, acceso permitido","2017-01-17 21:15:07"
129,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-17 21:33:00"
130,1,"admin admin",admin,"Modifico el pedido numero 16","2017-01-17 23:08:09"
131,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:08:35"
132,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:09:03"
133,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:09:19"
134,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:13:00"
135,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:14:10"
136,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:14:28"
137,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:15:12"
138,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:15:36"
139,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:16:56"
140,1,"admin admin",admin,"Modifico el pedido numero 18","2017-01-17 23:17:09"
142,1," ",,"Creo el PDF del vehiculo 1","2017-01-18 00:24:36"
143,1,"admin admin",admin,"Creo el PDF del vehiculo 1","2017-01-18 00:24:56"
144,1,"admin admin",admin,"Creo el PDF del vehiculo 6","2017-01-18 00:27:25"
145,1,"admin admin",admin,"Creo el PDF de la venta ","2017-01-18 00:27:36"
146,1,"admin admin",admin,"Creo el PDF de la venta ","2017-01-18 00:28:22"
147,1,"admin admin",admin,"Creo el PDF de la venta ","2017-01-18 00:29:12"
148,1,"admin admin",admin,"Creo el PDF de la venta 18","2017-01-18 00:30:13"
149,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-19 20:15:16"
150,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-19 20:19:15"
151,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-19 20:53:00"
152,1,"admin admin",admin,"Creo el PDF de la venta 18","2017-01-19 21:41:17"
153,1,"admin admin",admin,"Vendio el vehiculo: 5","2017-01-19 21:45:51"
154,1,"admin admin",admin,"Vendio el vehiculo: 5","2017-01-19 21:46:55"
155,1,"admin admin",admin,"Modifico el pedido numero 19","2017-01-19 21:47:24"
156,1,"admin admin",admin,"Modifico el pedido numero 20","2017-01-19 21:47:50"
157,1,"admin admin",admin,"Modifico el pedido numero 16","2017-01-19 21:48:07"
158,1,"admin admin",admin,"Modifico el pedido numero 2","2017-01-19 21:48:54"
159,1,"admin admin",admin,"Creo el PDF del vehiculo 1","2017-01-19 21:58:59"
160,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 00:11:46"
161,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 00:11:55"
162,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 00:12:18"
163,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 00:15:30"
164,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 18:46:03"
165,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 19:22:15"
166,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 20:39:44"
167,1,"admin admin",admin,"Modifico el pedido numero ","2017-01-20 21:19:07"
168,1,"admin admin",admin,"Modifico el pedido numero ","2017-01-20 21:19:35"
169,1,"admin admin",admin,"Envio un mensaje al cliente ","2017-01-20 21:22:01"
170,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 23:41:17"
171,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 23:47:03"
172,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-20 23:50:52"
173,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-21 00:02:07"
174,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-21 00:10:26"
175,1,"admin admin",admin,"Creo el PDF de la venta 19","2017-01-21 00:10:58"
176,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-21 01:54:07"
177,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-21 15:46:55"
178,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-21 18:08:18"
179,1,"admin admin",admin,"Identificado correctamente, acceso permitido","2017-01-29 22:11:43"
180,1,"admin admin",admin,"Creo el PDF de la venta 19","2017-01-29 22:11:50"
181,1,"admin admin",admin,"Modifico el pedido numero 19","2017-01-29 22:12:06"
